Animal ID,Found Location,At AAC,Date,Type,Looks,Color,Sex,Age,Image Link
A763315,"1325 AND QUICK HILL DRIVE
AUSTIN 78728
",No (contact for more info),12/7/2017,Dog,Alaskan Malamute Mix,Gray/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763315
A763322,"2112 HOLLY STREET
AUSTIN 78702
(30.25222, -97.722678)",No (contact for more info),12/7/2017,Dog,Miniature Poodle Mix,White,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763322
A763326,"18433 CLOUDMORE LANE
78621
(30.355991, -97.416614)",No (contact for more info),12/7/2017,Dog,Australian Cattle Dog Mix,Black/Gray,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763326
A763320,"1605 ASHBERRY DRIVE
AUSTIN 78723
(30.318429, -97.691964)",No (contact for more info),12/7/2017,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763320
A763308,"AUSTIN 78753
(30.378511, -97.675352)",Yes (come to the shelter),12/7/2017,Dog,Chihuahua Shorthair Mix,Black/White,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763308
A763306,"290 MANOR
78653
",Yes (come to the shelter),12/7/2017,Dog,Pit Bull Mix,Gray/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763306
A763331,"2507 DIAZ STREET
AUSTIN 78702
(30.260243, -97.713456)",Yes (come to the shelter),12/7/2017,Cat,Domestic Shorthair Mix,Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763331
A763329,"7106 COLONY PARK
AUSTIN 78724
(30.303403, -97.642337)",Yes (come to the shelter),12/7/2017,Dog,Labrador Retriever Mix,Brown/Black,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763329
A743414,"AUSTIN 78752
(30.332223, -97.703051)",No (contact for more info),12/7/2017,Dog,Great Pyrenees/Chow Chow,Buff,Intact Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A743414
A763339,"4313 SOUTH 1ST
AUSTIN 78745
(30.222205, -97.772193)",Yes (come to the shelter),12/8/2017,Dog,Staffordshire Mix,White/Brown,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A763339
A763357,"PALO BLANO LANE
AUSTIN 78744
",Yes (come to the shelter),12/8/2017,Dog,German Shepherd Mix,Brown/Black,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763357
A763374,"11513 DOVE FLIGHT DRIVE
AUSTIN 7862017
(30.156083, -97.649806)",Yes (come to the shelter),12/8/2017,Cat,Domestic Shorthair Mix,Gray Tabby/Black,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A763374
A763380,"13290 GREINERT DRIVE
PFLUGERVILLE 78660
",No (contact for more info),12/8/2017,Dog,Beagle Mix,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763380
A731213,"11513 DOVE FLIGHT DRIVE
AUSTIN 7862017
(30.156083, -97.649806)",Yes (come to the shelter),12/8/2017,Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A731213
